series_name,Episode,series_ep,season,season_ep,url,UserRating,UserVotes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
Black Mirror,San Junipero,11,3,4,http://www.imdb.com/title/tt4538072/?ref_=ttep_ep4,8.6,49785,0.021030430852666464,0.0058652204479260825,0.007753339359244753,0.009601285527769409,0.020950085367078437,0.044772521843928895,0.09263834488299688,0.160530280204881,0.25786883599477756,0.37898965551873054
Black Mirror,Men Against Fire,12,3,5,http://www.imdb.com/title/tt5709234/?ref_=ttep_ep5,7.6,30645,0.00868004568445097,0.003361070321422744,0.0065263501386849405,0.014260075053026594,0.03746124979605156,0.10344264969815631,0.25142763909283733,0.2968510360580845,0.16547560776635667,0.11251427639092837
Black Mirror,Hated in the Nation,13,3,6,http://www.imdb.com/title/tt5709236/?ref_=ttep_ep6,8.5,34856,0.0074592609593757174,0.0026968097314666053,0.003930456736286436,0.006828092724351618,0.016324305714941475,0.042087445490016064,0.10922079412439752,0.22782304337847142,0.30855519853109936,0.27507459260959377
Black Mirror,USS Callister,14,4,1,http://www.imdb.com/title/tt5710974/?ref_=ttep_ep1,8.3,44871,0.012725368277952353,0.005125805085690089,0.006953266029283947,0.01083104900715384,0.02077065365157897,0.0506340398029908,0.13001716030398253,0.2609926232978984,0.2933074814468142,0.20864255309665486
Black Mirror,Arkangel,15,4,2,http://www.imdb.com/title/tt5709250/?ref_=ttep_ep2,7.3,35229,0.012149081722444577,0.007351897584376508,0.01036078231002867,0.020182236225836668,0.048426012660024415,0.13477532714524965,0.2996962729569389,0.28337449260552383,0.11899287518805529,0.06469102160152147
Black Mirror,Crocodile,16,4,3,http://www.imdb.com/title/tt5710976/?ref_=ttep_ep3,7.3,32969,0.02147471867511905,0.011707968091237224,0.015984712912129575,0.026479420061269677,0.055810003336467594,0.13172980678819496,0.27067851618186783,0.26606812460189877,0.12344930085838211,0.07661742849343323
Black Mirror,Hang the DJ,17,4,4,http://www.imdb.com/title/tt5710978/?ref_=ttep_ep4,8.8,44305,0.006274686829928902,0.0022119399616296128,0.0028890644396794944,0.004559304818869202,0.01171425347026295,0.028236090734680058,0.0822706240830606,0.19702065229658053,0.3109581311364406,0.35386525222886805
Black Mirror,Metalhead,18,4,5,http://www.imdb.com/title/tt5710984/?ref_=ttep_ep5,6.7,31062,0.049964586955122015,0.024982293477561007,0.033706779988410276,0.0493207134118859,0.10443628871289679,0.17609941407507565,0.23288906058850042,0.17300882106754234,0.08483033932135728,0.07076170240164832
Black Mirror,Black Museum,19,4,6,http://www.imdb.com/title/tt5058700/?ref_=ttep_ep6,8.7,35493,0.00907221142197053,0.003352773786380413,0.0038317414701490434,0.005747612205223566,0.01369284084185614,0.032457104217733075,0.08672132533175556,0.2019834897021948,0.3259797706590032,0.31716113036373367
Black Mirror,Striking Vipers,20,5,1,http://www.imdb.com/title/tt8503298/?ref_=ttep_ep1,6.8,32142,0.05774376205587704,0.021000560014933733,0.028934104909464253,0.03873436624976666,0.0794287847675938,0.14980399477319395,0.23178395868334267,0.20680107025076225,0.09968265820421877,0.08608674009084687
Black Mirror,Smithereens,21,5,2,http://www.imdb.com/title/tt8758202/?ref_=ttep_ep2,7.5,29176,0.02704277488346586,0.013161502604880724,0.017891417603509735,0.024917740608719496,0.05350287907869482,0.10563476830271457,0.19879352892788593,0.2482177131889224,0.1708253358925144,0.14001233890869208
Black Mirror,"Rachel, Jack and Ashley Too",22,5,3,http://www.imdb.com/title/tt9053874/?ref_=ttep_ep3,6.0,29164,0.10118639418461116,0.0463928130571938,0.05870250994376629,0.0752983129886161,0.11980523933616788,0.15615141955835962,0.17123851323549583,0.12494856672610068,0.062302839116719244,0.08397339185296941
Game of Thrones,Winter Is Coming,1,1,1,http://www.imdb.com/title/tt1480055/?ref_=ttep_ep1,9.1,39019,0.024347112944975526,0.0016658550962351676,0.002409082754555473,0.002614111074092109,0.007560419282913453,0.013660011789128373,0.042671519003562364,0.11825008329275481,0.25533714344293806,0.5314846613188446
Game of Thrones,The Kingsroad,2,1,2,http://www.imdb.com/title/tt1668746/?ref_=ttep_ep2,8.8,29600,0.026114864864864865,0.0017567567567567568,0.0019256756756756757,0.00222972972972973,0.007060810810810811,0.015777027027027025,0.060506756756756756,0.19993243243243244,0.2477027027027027,0.43699324324324323
Game of Thrones,Lord Snow,3,1,3,http://www.imdb.com/title/tt1829962/?ref_=ttep_ep3,8.7,27995,0.03379174852652259,0.0013573852473656011,0.0020717985354527595,0.0029290944811573493,0.007751384175745669,0.019003393463118416,0.07169137345954635,0.21378817646008216,0.21853902482586177,0.42907662082514736
